Position,Company_Name,Location,Post_Month,Post_Year,Details
Ingénieur R&D,Valeo,"Ben Arous Governorate, Tunisia",April,2022,"En tant qu’Ingénieur R&D rattaché au Responsable R&D vous :
Réalisez les études projets de son périmètre ( Remontage , simulation , proto , DFN , 2D )
Réalisez le suivi des demandes et des besoins du centre de compétences
Réalisez la validation des hypothèses et l’identification des solutions
Garantissez la mise à jour et l’archivage du dossier de justification
Amenez et diffusez la compréhension des produits en cours de développement dans les centres de compétences
Réalisez l’étude technique des DFC clients
Soutenez les ingénieurs industrialisation pour assurer un bon développement produit / process
Trouvez des solutions de productivité technique
Participez dans le Traitement des QRQC Garantie et usine, et trouvez des solutions de robustesse produit
Définir les plans de validation des produits suite à des modifications en se basant sur les spécifications clients.
Issu d’une formation d’ingénieur en Mécanique, Electromécanique ou Mécatronique, vous justifiez d'au moins 1 ans d'expérience dans un poste similaire.
La maîtrise des langues Française et Anglaise, et de l’outil informatique est obligatoire.
Primary Location

LCC1-TN-Ben Arous region

Job

Research and Development

Organization

1CL Interior Smart Devices

Schedule

Full-time

Shift

Day Job

Employee Status

Regular

Job Type

Regular

Job Posting

08/07/2021, 3:25:56 PM"
Ingénieur R&D,Valeo,"Ben Arous Governorate, Tunisia",April,2022,"En tant qu’Ingénieur R&D rattaché au Responsable R&D vous :
Réalisez les études projets de son périmètre ( Remontage , simulation , proto , DFN , 2D )
Réalisez le suivi des demandes et des besoins du centre de compétences
Réalisez la validation des hypothèses et l’identification des solutions
Garantissez la mise à jour et l’archivage du dossier de justification
Amenez et diffusez la compréhension des produits en cours de développement dans les centres de compétences
Réalisez l’étude technique des DFC clients
Soutenez les ingénieurs industrialisation pour assurer un bon développement produit / process
Trouvez des solutions de productivité technique
Participez dans le Traitement des QRQC Garantie et usine, et trouvez des solutions de robustesse produit
Définir les plans de validation des produits suite à des modifications en se basant sur les spécifications clients .
Issu d’une formation d’ingénieur en Mécanique, Electromécanique ou Mécatronique, vous justifiez d'au moins 1 ans d'expérience dans un poste similaire.
La maîtrise des langues Française et Anglaise, et de l’outil informatique est obligatoire.
Primary Location

LCC1-TN-Ben Arous region

Job

Research and Development

Organization

15L Switches & Smart Controls

Schedule

Full-time

Shift

Day Job

Employee Status

Regular

Job Type

Regular

Job Posting

07/02/2022, 12:50:41 PM"
Freelance Python Developer,Toptal,"Sfax Governorate, Tunisia",May,2022,"About The Job

Toptal developers work with speed and efficiency to deliver the highest quality of work. We are looking for someone who is passionate about their client’s business, and ready to work on exciting projects with Fortune 500 companies and Silicon Valley startups, with great rates and zero hassles. If you are looking for a place to advance your career, enhance your skill set, and build connections around the globe, Toptal is right for you.

About Toptal

Toptal is an exclusive network of top freelancers from around the world. Fortune 500 companies and Silicon Valley startups hire Toptal for their most important projects. Toptal is one of the fastest-growing fully remote networks and empowers freelance software developers, designers, finance experts, product managers, and project managers worldwide to grow and excel in their freelance careers.

Toptal clients vary in sizes and industries, from enterprise organizations and big tech companies to Silicon Valley startups and renowned universities. Once you enter the network, our matchers will contact you with project opportunities that fit your expertise and preferences. We have experts in over 120 countries who get to work remotely on projects that meet their career ambitions.

About The Role

We are looking for a Python Developer (independent contractor) to join our network. Your primary responsibilities may include: (1) writing reusable, testable, and efficient code, (2) design and implementation of low-latency, high-availability, and performant applications, (3) integration of user-facing elements developed by front-end developers with server side logic, (4) implementation of security and data protection, and (5) integration of data storage solutions.

Requirements
3+ years of professional experience
Expert in Python.
Familiarity with some ORM (Object Relational Mapper) libraries
Able to integrate multiple data sources and databases into one system
Understanding of the threading limitations of Python, and multi-process architecture
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Understanding of accessibility and security compliance
Familiarity with event-driven programming in Python
Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform
Able to create database schemas that represent and support business processes
Strong unit test and debugging skills
Proficient understanding of code versioning tools
Experience with system architecture or leading a software team is a strong advantage
Full-time availability is a strong advantage
If you’re interested in pursuing an engaging career working on full-time freelance jobs for exclusive clients, take the next step by clicking apply and filling out the short form to get started.

#RemoteJobPython"
Manager Tech Leader,Sopra HR Software,"Tunis, Tunisia",April,2022,"Missions et attribution

Gestion des activités en tant que Scrum Master, en tant que technical Leader et manager hiérarchique des ressources
Garantir la qualité des systèmes d’information de l’entreprise, en gérant une équipe de tests automatique et en automatisant les tests fonctionnels pour détecter les défauts et veiller à ce qu’ils soient corrigés
Coordination avec les autres équipes projets de tests automatiques
Planification et gestion de la backlog d’automatisation pour les différents sprint Agile, Gestion du référentiel de tests
Participer en collaboration avec le Test Manager et le Release Manager au pilotage des campagnes de tests et à la gestion des régressions
Monitoring journalier des environnements, analyse et remontée des régressions
Mise à jour des Dashboard de suivi et coordination avec les équipes projets
Assurance des Jeux de données prérequis et la maitrise fonctionnelle Maitrise fonctionnelle des scénarios de tests à automatiser et gestion des Jeux de données prérequis
Développement et maintenance du code
Gestion de la dette technique (code évolutif et maintenable)
Gestion de l’usine de tests automatisés
Gestion de l’industrialisation des tests
Contrôle et ajustement de l’avancement des travaux de l’équipe (Code review journalier avec les développeurs)
Coaching et accompagnement technique de l’équipe
Assurer la livraison avec la bonne qualité dans les délais
Suivi du planning de montée en compétence technique de l’équipe
Estimation des charges et détection des facteurs de risques
Mise en place d’une dynamique d’équipe en fédérant les ressources autour d’un objectif commun


Formation de base
diplôme Ingénieur en développement logiciel

Formations complémentaires optionnelles souhaitées

Gestion de projet et management des équipes
Certification sur les techniques et outils de tests (ISTQB)
Certification JAVA| Sélenium| GIT| JENKINS|
Certification DEVOPS
Certification Scrum Master

Compétences techniques souhaitées

Développement génie logiciel
Eclipse| JAVA| Sélenium|GHERKIN| GIT| JENKINS| PIPELINE| DOM HTML|XPATH| SHELL| Administration Windows| MAVEN|XML |JSON | DOCKER
Outil de gestion de tests (JIRA| XRAY)."
Freelance Data Engineer,Toptal,"Sfax Governorate, Tunisia",May,2022,"About The Job

Toptal developers work with speed and efficiency to deliver the highest quality of work. We are looking for someone who is passionate about their client’s business, and ready to work on exciting projects with Fortune 500 companies and Silicon Valley startups, with great rates and zero hassles. If you are looking for a place to advance your career, enhance your skill set, and build connections around the globe, Toptal is right for you.

About Toptal

Toptal is an exclusive network of top freelancers from around the world. Fortune 500 companies and Silicon Valley startups hire Toptal for their most important projects. Toptal is one of the fastest-growing fully remote networks and empowers freelance software developers, designers, finance experts, product managers, and project managers worldwide to grow and excel in their freelance careers.

Toptal clients vary in sizes and industries, from enterprise organizations and big tech companies to Silicon Valley startups and renowned universities. Once you enter the network, our matchers will contact you with project opportunities that fit your expertise and preferences. We have experts in over 120 countries who get to work remotely on projects that meet their career ambitions.

About The Role

We are looking for a Data Engineer (independent contractor) whose main goal is to be one step ahead of data scientists and analysts. You will support them by providing infrastructure and tools they can use to deliver end-to-end solutions to business problems that can be developed rapidly and maintained easily. This is more than building and maintaining ETL pipelines. We need innovation, creativity, and solutions that will have a significant impact on the client’s velocity.

Requirements
3+ years of professional experience in software development
Working experience with Python and Pandas.
Familiarity with the basic principles of distributed computing and data modeling.
Extensive experience with object-oriented design and coding and testing patterns, including experience with engineering software platforms and data infrastructures.
Working experience with Airflow and Luigi is a big plus.
Working experience with Scala is a plus.
Familiarity with Google Cloud Platform (e.g. GCS and BigQuery) is a plus.
Working experience with Dimensional Modeling and Rails is a plus.
Outstanding communication and interpersonal skills.
Full-time availability is a strong advantage
If you’re interested in pursuing an engaging career working on full-time freelance jobs for exclusive clients, take the next step by clicking apply and filling out the short form to get started.

#RemoteJobDataEngineering"
Head Of Performance Marketing - Jumia (Full Time),Jumia Group,"Tunis, Tunisia",April,2022,"Jumia is a leading e-commerce platform in Africa. It is built around a marketplace, Jumia Logistics, and JumiaPay. The marketplace helps millions of consumers and sellers to connect and transact. Jumia Logistics enables the delivery of millions of packages through our network of local partners. JumiaPay facilitates the payments of online transactions for Jumia's ecosystem. With over 1 billion people and 500 million internet users in Africa, Jumia believes that e-commerce is making people's lives easier by helping them shop and pay for millions of products at the best prices wherever they live. E-commerce is also creating new opportunities for SMEs to grow, and job opportunities for a new generation to thrive.

With over 5,000 employees in more than 10 countries in Africa, Jumia is led by top talented leaders offering a great mix of local and international talents and is backed by very high-profile shareholders. Jumia is committed to creating sustainable impact in Africa. Jumia offers unique opportunities in a vibrant and booming environment, creating new jobs, new skills, and empowering a new generation.

Main Responsibilites
Accountable for operational digital marketing performance on your channel (ie. reach ROI KPI targets)
Lead optimization and automation projects on your channel to support a scalable company growth
Full responsibility of channels – ie. Facebook & Instagram Ads, Google Display Ads, Google Search Ads, Search engine optimization (SEO), or CRM (ie. email marketing, push notifications, sms.)
Full hands-on responsibility to manage up to several hundred thousand euros of online advertising budget.
Work in close collaboration with marketing partners - including but not limited to Google, Facebook, and Salesforce.
Delivery of continuous optimization and automation of working practices on your channel on top of your operational accountability. This includes having the freedom of proposing and designing automation processes such as machine learning algorithm in order to improve the results of the channel.
Required Skills & Qualifications
Excellent communication skills in English, and willingness to be immersed in an very international and entrepreneurial environment
Sharp, analytical mind and an entrepreneurial spirit
Data analytics project and experience are a must, knowledge of the basic optimization algorithms
Knowledge and/or willingness to learn web & digital marketing techs (HTML, JavaScript, Python, SQL)
Proficiency in advanced excel mandatory, javascript / google app scripts a plus
Level headed and can express ideas in a clear and impactful manner
We Offer
Aunique experience in an entrepreneurial but structured environment
The opprotunity of being part of a highly professional and dynamic team working around the world
U nparalleled personal and professional growth as our longer-term goal is to train a next generation of leaders for our future businesses"
Freelance Blockchain Developer,Toptal,"Jarjis, Medenine Governorate, Tunisia",May,2022,"About The Job

Toptal freelancers work with speed and efficiency to deliver the highest quality of work. We are looking for someone who is passionate about generating impact, and ready to work on challenging projects with the world’s top companies, with great rates and zero hassles. If you are looking for a place to advance your career, enhance your skill set, and build connections around the globe, Toptal is right for you.

About Toptal

Toptal is one of the fastest-growing fully remote networks and empowers freelance software developers, designers, finance experts, product managers, and project managers worldwide to grow and excel in their freelance careers.

Toptal clients vary in sizes and industries, from enterprise organizations and big tech companies to Silicon Valley startups and renowned universities. Once you enter the network, our matchers will contact you with project opportunities that fit your expertise and preferences. We have experts in over 120 countries who get to work remotely on projects that meet their career ambitions.

About The Role

We are looking for a freelance Blockchain developer (independent contractor) who will help us advance exciting projects with some of the world’s top companies. The ideal developer has strong experience developing and implementing Blockchain platforms or services. By joining Toptal, you will have the opportunity to choose from great projects that vary from creating and developing smart contracts to developing decentralized applications (DApps) within Hyperledger and more.

Requirements
3+ years of professional experience in software development
Experience with Smart Contracts, Hyperledger and/or Web3 is a strong advantage
Experience with creating non-fungible tokens is a plus
Project management skills
Experience with system architecture or leading a software team is a strong advantage
Full-time availability is a strong advantage
If you’re interested in pursuing an engaging career working on full-time freelance jobs for exclusive clients, take the next step by clicking apply and filling out the short form to get started.

#RemoteJobBlockchain"
Freelance Blockchain Developer,Toptal,"Gabes, Tunis, Tunisia",May,2022,"About The Job

Toptal freelancers work with speed and efficiency to deliver the highest quality of work. We are looking for someone who is passionate about generating impact, and ready to work on challenging projects with the world’s top companies, with great rates and zero hassles. If you are looking for a place to advance your career, enhance your skill set, and build connections around the globe, Toptal is right for you.

About Toptal

Toptal is one of the fastest-growing fully remote networks and empowers freelance software developers, designers, finance experts, product managers, and project managers worldwide to grow and excel in their freelance careers.

Toptal clients vary in sizes and industries, from enterprise organizations and big tech companies to Silicon Valley startups and renowned universities. Once you enter the network, our matchers will contact you with project opportunities that fit your expertise and preferences. We have experts in over 120 countries who get to work remotely on projects that meet their career ambitions.

About The Role

We are looking for a freelance Blockchain developer (independent contractor) who will help us advance exciting projects with some of the world’s top companies. The ideal developer has strong experience developing and implementing Blockchain platforms or services. By joining Toptal, you will have the opportunity to choose from great projects that vary from creating and developing smart contracts to developing decentralized applications (DApps) within Hyperledger and more.

Requirements
3+ years of professional experience in software development
Experience with Smart Contracts, Hyperledger and/or Web3 is a strong advantage
Experience with creating non-fungible tokens is a plus
Project management skills
Experience with system architecture or leading a software team is a strong advantage
Full-time availability is a strong advantage
If you’re interested in pursuing an engaging career working on full-time freelance jobs for exclusive clients, take the next step by clicking apply and filling out the short form to get started.

#RemoteJobBlockchain"
Full Stack R&D Engineer Team Lead,ARTEMIS SOURCING,"Tunis, Tunisia",May,2022,"As a regional reference of IoT solutions, our client promises customers cutting-edge diversified solutions that will give them the essential insight to run exceptionally efficient operations. A national leading IoT-based solutions provider, which platforms, services and products will grant enterprises the necessary insight to maximize efficiency and reinforce scalability

1. Mission :


As a confirmed Fullstack R&D Engineer, you strengthen the engineering team which builds interfaces, data flows and architecture to offer customers the best user experience in the IoT world.

a. As a Leader you’ll be :


Managing the day-to-day activities of the team.

Motivating the team to achieve organizational goals.

Developing and implementing a timeline to achieve targets.

Delegating tasks to team members.

Conducting training of team members to maximize their potential.

Empowering team members with skills to improve their confidence, product knowledge, and communication skills.

Conducting quarterly performance reviews.

Contributing to the growth of the company through a successful team.

Creating a pleasant working environment that inspires the team.

Coordinate with the project managers to followup your team performance indicator

You’ll be reporting to the general manager

Your time will be split 40/60 Leadership/Production


b. You will be taken to (as confirmed Full Stack R&D Engineer):


Analyze the functional and technical solution proposals, resulting from the initiation phase in collaboration with the PO and the expertise committee.

Contribute to the writing of functional and technical specifications

Write the technical deliverables following the recommendations of the Solution Architect.

Contribute to technical R&D, Maintenance (corrective and evolutionary) and functional projects

Ensuring qualification via unit tests (technical and functional), cross-testing and non-regression

testing of the components developed.

Contribute in project Scrum ceremonies (Demo, Daily meeting, Sprint Planning…).

Contribute to the task estimation and project planning update

Provide regular reporting to the Project Manager and Team Leader

Respect the production quality process and be a source of proposals for its continuous improvement

Provide support for production release, hot fixes on production environments and contribute to Level 3 Support actions

Ensure customer deliveries and respond to their requests for support when needed.

Contribute to the integration phases in the DevOps environment (Continuous integration, automatic deployment) and delivery.


2. Job requirements


You have at least 4 years of experience in a similar position within a project management mission or Team Leader

You are trained as an engineer and you have customer sensitivity (external and internal) and understand functional and business issues

Very solid knowledge in Java 9+ and also in Spring Boot.

You have experience with Front End technologies: JavaScript, Html5, CSS3,Angular 9+ and the Spring Framework

Knowledge of relational databases (PostgreSql, MySql, etc.)

You have good communication skills both written and spoken in English

You prefer to work in a team

What you'll have :

Flexible Schedule (Work From Home)
Professional development & skills training
Inspiring work environment and a fast-growing company
Office events and networking activities
You will learn and grow among
the best minds in the industry in a collaborative and thriving environment."
QA Tester (H/F),SESAMm,"Tunis, Tunis, Tunisia",April,2022,"Who are we ?

SESAMm is the French leader in Alternative Data and Artificial Intelligence solutions applied to asset management (www.sesamm.com).

Specialization: creation of innovative analytics and alternative data – we analyze in real time billions of messages, articles and posts from millions of data sources.

Team: More than 70 people, mainly engineers and researchers, with offices in Paris, New York, Tokyo, London, Tunis and Metz, along with international clients with large accounts, including asset managers, hedge funds and major banks in the US, Japan, France and Luxembourg.

Key technologies: Natural Language Processing, Big Data, Machine Learning and Quantitative Analysis.

Join SESAMm, an innovative fintech with very strong growth !

Why are we looking for a QA Tester?

Looking for a new challenge?

Do you dream of underpinning a growing company, proposing new ideas, implementing new tools and changing processes?

At SESAMm, everyone brings their creativity, ideas and skills. We are experts, but also beginners in spirit. Like a family, we value closeness, support and teamwork.

We learn every day from the experience of this great team and we constantly take up new challenges. We are proud of the work accomplished and participate in the success of this great adventure!

In brief: As a QA Tester, as part of the Development team, you will take part in automated tests writing to ensure the quality of the product.

What you will do:
Participate of the dev team meetings to follow feature realization;
Understand the specifications of features;
Writing the test plan for each product change;
Establish regression testing scenarios;
Realize automated tests.

A good level of English proficiency, very good interpersonal skills and strong motivation are required. The candidate will need to demonstrate autonomy and innovation in the face of a constantly changing environment. The list of tasks described is not necessarily exhaustive and may be modified according to the constraints of the company and the evolution of its needs.

What do we want from you?

Your educational background:
Bachelor's degree in IT, software engineering or a related field (Engineering degree is a plus)
Other types of profiles are welcome to apply as long as they have significant IT experience.

Your Professional background:
You are fluent in English or French;
2+ years of experience as QA;
Good communication skills;
Some experience in Selenium, Cypress or any Automated Testing Framework.

Even better:
Good communication and popularization skills: understand technical team needs and issues, collaborate with several internal teams.
Some experience in Data Engineering
ISTQB certification

What we offer at SESAMm

Incentives: We offer attractive packages and various benefits, such as restaurant vouchers or mutual insurance from the company.

Flexibility: Remote work is promoted in our company, especially during the unique times we are living in. Beside this context, we allow up to three days a week of remote work.

Work environment: In our premises, conviviality at work is crucial - you will find drinks and treats (coffee, tea, drinks, snacks) and enjoy discussions with unique individuals in a rich and multicultural work environment.

Career: Deciding to join SESAMm, means having prospects, seeing the real impact of your daily work, and contributing to the evolution of a fast growing start-up.

Skills development: We consider training to be essential, both internally with our Learn & Show (workshops led by colleagues for knowledge sharing) or externally via third party organizations or platforms.

Transparency: You will always be aware of the company's evolution with regular informative meetings as an essential element of transparency : ""Ask Me Anything"", once a month informative and interactive meeting, strategic meetings…

Well-being: We have made well-being in the workplace and a corporate culture with strong values central to our concerns.

In short, SESAMm has a strong team spirit, communication facilitated by a horizontal hierarchy and a rich culture of diversity.

Working conditions
Location: Tunis
Type of contract: Permanent
Start date: As soon as possible"
Senior Analyst/Associate (M/F),SESAMm,"Tunis, Tunis, Tunisia",April,2022,"SESAMm

SESAMm (www.sesamm.com) extracts behavioral insights from millions of unstructured text data sources across the public internet in over 100 languages, helping clients distill valuable intelligence on businesses and their customers to make investment decisions and manage risk.

We work with many well-known firms around the world in private equity, investment banking, insurance, and asset management to apply Natural Language Processing and Artificial Intelligence algorithms to track e-reputation, competitive positioning, sentiment analysis, risk and ESG factors.

SESAMm is growing quickly, with over 90 team members around the globe and offices in Paris, New York, London, Metz, Tunis and Tokyo.

Key technologies: Alternative Data, Natural Language Processing, Machine Learning and Quantitative Analysis.

Are you looking for a new challenge? Do you dream of joining a growing company, proposing new ideas, and taking part in innovative processes?

At SESAMm, everyone brings their ideas, skills, and creativity. We value collaboration, support and teamwork. We learn every day from the experince of this great team and we constantly take up new challenges. We are proud of the work accomplished and to participate in the success of this great adventure!

The Senior Analyst Role

We are looking for a high-caliber professional to join our team either as a senior analyst or as a junior associate, depending on your experience. In that position, you will be working on Industry research mandates together with our professionals. In addition, you will be involved in marketing our services to potential new clients. The position is based in Tunis.

You will be joining a rapidly expanding team early in its growth cycle, which means you will have an opportunity to shape the team's culture.

Key Activities

❖ Market research:
Capital markets, industries as well as public and private company related research and analysis;
Preparation of presentations and other documents;
Overall project management support;
Data analysis and visualization;
Analyze data regarding market trends and patterns;
Help tell a story by translating data into visualizations, metrics, and goals;
Participate in the delivery of dashboards, including requirements gathering, testing, and implementation;
Participate in client meetings.

❖ Collaborate with Sales and Marketing & Communications teams:
Work with Sales team to manage client relationships, build projects and handle deliveries;
Work with the Marketing & Communication team to create studies and dashboards, keep up to date with financial news, propose visualizations based on recent events, and publish newsletters with data analytics

Desired Background and Skills

Education
Business School or University Master Degree

Experience
1-4 years of professional experience (e.g. full-time position or internships) in an investment bank or a corporate finance, Equity research, Big 4, and strategy consultancy

Skills
Good analytical skills and detail-oriented;
Excellent communication and relational skills : communicate with clients, understand their needs and issues, collaborate with internal teams;
Ability to turn complex concepts into actionable recommendations;
Highly organized, with the ability to manage multiple tasks simultaneously;
Languages : fluent English speaker with very good writing skills;
Proficiency with PowerPoint and Excel;
A proven experience within industries like Software, Retail, E-commerce, etc.
Any prior data visualization software skills : Kibana, Looker, Tableau, PowerBI, QuickSight or similar.

Benefits of Working at SESAMm

Flexibility: Team members can work remotely and have the opportunity to work with colleagues around the world.

Work environment: SESAMm is multicultural, with technology, sales, and management teams in the US, France and Tunisia making important contributions to the company's growth.

Career development: SESAMm is growing quickly, which means the opportunities for your own growth are continually expanding, and that you can shape the company's culture and evolution.

Professional evolution: SESAMm values training and knowledge-sharing. We organize internally and externally led training sessions and pay for access to educational platforms.

Transparency: You will be kept apprised of the company's continuing evolution and performance through monthly ""Ask Me Anything"" meetings, frequent business/finance updates, and strategy-sharing discussions.

Well-being: Building a good culture is key to building a good business at SESAMm. We focus on being a learning organization that values and supports teamwork, thoughtfulness, and work/life balance.

Working conditions
Location: Tunis
Duration: Permanent contract
Type of contract: Full time
Start date: As soon as possible"
Freelance Part Time Audio Transcription Project | Arabic Speaker,Appen,Tunisia,May,2022,"Join Appen Today! 💪🏼

A global leader in speech and search technology services. When you work on our projects, you are helping to develop a responsible, unbiased AI. 👨🏽‍💻

We are looking for contributors who are Algerian Arabic speakers for an exciting work from home opportunity.

📌 Project description：
Participants will help do transcription and quality inspection of audio spoken by the natives. A qualification test is required, and we will give you training before starting. The purpose of this task is to help improve the quality of machine learning and help build a better AI.

📝 Requirements:
✔️ Arabic speaker
✔️ Participated in the audio transcription project and knew the basic rules of audio transcription
✔️ Computer with Windows 10 operating system
✔️ Stable internet connection

The tasks and comprehensive guidelines will be provided to you once you got in.

Want to get started today? Become an Appen Contributor now!

🌎 Please follow the steps below on how to create an Appen Connect account:
1. Visit the Appen website by clicking ""Apply"" Button to proceed with the registration.

2. Choose Arabic (Algeria) as your primary language.

3. Complete the Registration page and click the Submit Application button to create your Appen Connect account. Once your account has been created, click the ""Continue"" button on the upper left side of your dashboard -- ""Unlock More Projects!""

👉🏼 Don't forget to Opt-in to the Appen China Platform using your Appen Connect Credentials to unlock more projects for your account!

More opportunities that may be available: ⬇️
Search Engine Evaluation
Social Media Evaluation
Translation
Transcription
Linguistic Specialties
Lexicon Annotation
Speech Evaluation
Image Annotation and/or Transcription
Video Annotation
Sensor Data Annotation i.e., LiDAR, Radar, etc.

Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends!
Flexible working hours
You can apply/work while you are working full time or studying!
Apply many projects as many as you can

Let us know if you have any questions regarding the opportunity.
We are extremely excited to have you join the Appen 9 Crowd and participate in the Project!


A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds."
Full Stack R&D Engineer Team Lead,ARTEMIS SOURCING,"Tunis, Tunisia",April,2022,"As a regional reference of IoT solutions, our client promises customers cutting-edge diversified solutions that will give them the essential insight to run exceptionally efficient operations. A national leading IoT-based solutions provider, which platforms, services and products will grant enterprises the necessary insight to maximize efficiency and reinforce scalability

1. Mission :


As a confirmed Fullstack R&D Engineer, you strengthen the engineering team which builds interfaces, data flows and architecture to offer customers the best user experience in the IoT world.

a. As a Leader you’ll be :


Managing the day-to-day activities of the team.

Motivating the team to achieve organizational goals.

Developing and implementing a timeline to achieve targets.

Delegating tasks to team members.

Conducting training of team members to maximize their potential.

Empowering team members with skills to improve their confidence, product knowledge, and communication skills.

Conducting quarterly performance reviews.

Contributing to the growth of the company through a successful team.

Creating a pleasant working environment that inspires the team.

Coordinate with the project managers to followup your team performance indicator

You’ll be reporting to the general manager

Your time will be split 40/60 Leadership/Production


b. You will be taken to (as confirmed Full Stack R&D Engineer):


Analyze the functional and technical solution proposals, resulting from the initiation phase in collaboration with the PO and the expertise committee.

Contribute to the writing of functional and technical specifications

Write the technical deliverables following the recommendations of the Solution Architect.

Contribute to technical R&D, Maintenance (corrective and evolutionary) and functional projects

Ensuring qualification via unit tests (technical and functional), cross-testing and non-regression

testing of the components developed.

Contribute in project Scrum ceremonies (Demo, Daily meeting, Sprint Planning…).

Contribute to the task estimation and project planning update

Provide regular reporting to the Project Manager and Team Leader

Respect the production quality process and be a source of proposals for its continuous improvement

Provide support for production release, hot fixes on production environments and contribute to Level 3 Support actions

Ensure customer deliveries and respond to their requests for support when needed.

Contribute to the integration phases in the DevOps environment (Continuous integration, automatic deployment) and delivery.


2. Job requirements


You have at least 4 years of experience in a similar position within a project management mission or Team Leader

You are trained as an engineer and you have customer sensitivity (external and internal) and understand functional and business issues

Very solid knowledge in Java 9+ and also in Spring Boot.

You have experience with Front End technologies: JavaScript, Html5, CSS3,Angular 9+ and the Spring Framework

Knowledge of relational databases (PostgreSql, MySql, etc.)

You have good communication skills both written and spoken in English

You prefer to work in a team

What you'll have :

Flexible Schedule (Work From Home)
Professional development & skills training
Inspiring work environment and a fast-growing company
Office events and networking activities
You will learn and grow among
the best minds in the industry in a collaborative and thriving environment."
Senior Data Engineer (M/F),SESAMm,"Tunis, Tunis, Tunisia",March,2022,"SESAMm

SESAMm (www.sesamm.com) extracts behavioral insights from millions of unstructured text data sources across the public internet in over 100 languages, helping clients distill valuable intelligence on businesses and their customers to make investment decisions and manage risk.

We work with many well-known firms around the world in private equity, investment banking, insurance, and asset management to apply Natural Language Processing and Artificial Intelligence algorithms to track e-reputation, competitive positioning, sentiment analysis, risk and ESG factors.

SESAMm is growing quickly, with over 90 team members around the globe and offices in Paris, New York, London, Metz, Tunis, and Tokyo.

Key technologies: Alternative Data, Natural Language Processing, Machine Learning and Quantitative Analysis.

The Senior Data Engineer Role

As a Senior Data Engineer, you will build and scale data components to key SESAMm products, such as raw data ingestion pipeline, job scheduling and ETL design/optimization, optimize the migration the Product Data Platform toward cloud or on-premise solutions, and setup the best data development practices for other tech members. Communicate the work of your team with weekly updates.

You will be joining a rapidly expanding team early in its growth cycle, which means you will have an opportunity to shape the team's culture.

Key Activities

❖ Design and implement best data pipeline for our Text-based products (ingestion, processing, exposition) :
Test and design state-of-the-art data ingestion pipelines
Implement efficient streaming services

❖ Lead the acquisition of new data sources
For each new data source, describe its feasibility and potential
Integrate the new data into the datalake

❖ Develop data request tooling for Data Scientists and Technical teams
Ease the new data request engine
Optimize current queries

❖ Implement and maintain critical data systems
Process and integrate data in new databases or datalake
Ensure maintainability and create update systems

Used technologies : Spark, AWS-EMR, SQL, MongoDB, SageMaker, Athena, Step Functions...

An excellent level of English proficiency, very good interpersonal skills and strong motivation are required. The candidate will need to demonstrate autonomy and innovation in the face of a constantly changing environment. The list of tasks described is not necessarily exhaustive and may be modified according to the constraints of the company and the evolution of its needs.

Desired Background And Skills

Education
Engineering school/university with specialization in IT, software engineering or data science. Other types of profiles are welcome to apply as long as they have significant IT experience

Experience
At least 5 years of experience in data engineering with a successful implementation of a cloud-based data processing pipeline

Skills
Good understanding of different databases and data storage technologies
Very good knowledge of distributed computing systems, such as Spark, on a stand-alone and cluster-basis
Good knowledge of cloud computing systems, such as AWS, GCP, Azure ML is a strong plus
Development: mastering a language within Python, Java and/or Scala at least a knowledge with Python would be a plus
Good communication and popularization skills: understand technical team needs and issues, collaborate with several internal teams. Team player.
Additional skills: strong interest in data science / Natural Language Processing.

You should be able to work in a product team and show high motivation. This job requires autonomy, curiosity toward a changing environment and real dedication to solving problems for clients

Benefits Of Working At SESAMm

Flexibility: Team members can work remotely and have the opportunity to work with colleagues around the world.

Work environment: SESAMm is multicultural, with technology, sales, and management teams in the US, France, and Tunisia making important contributions to the company's growth.

Career development: SESAMm is growing quickly, which means the opportunities for your own growth are continually expanding, and that you can shape the company's culture and evolution.

Professional evolution: SESAMm values training and knowledge-sharing. We organize internally and externally led training sessions and pay for access to educational platforms.

Transparency: You will be kept apprised of the company's continuing evolution and performance through monthly ""Ask Me Anything"" meetings, frequent business/finance updates, and strategy-sharing discussions.

Well-being: Building a good culture is key to building a good business at SESAMm. We focus on being a learning organization that values and supports teamwork, thoughtfulness, and work/life balance.

Job Specifics
Location: Tunis
Duration: Permanent contract
Type of contract: Full time
Start Date: As soon as possible"
